[20:48:07.085][INFO][CraftTweaker-EarlyInit]: CraftTweaker is running on a Minecraft 1.21.1 development client modded with platform NeoForge
[20:48:07.092][INFO][CraftTweaker-EarlyInit]: Successfully injected RecipeFS file system
[20:48:07.101][INFO][CraftTweaker-Plugins]: Successfully identified and loaded plugin crafttweaker:neoforge
[20:48:07.103][INFO][CraftTweaker-Plugins]: Successfully identified and loaded plugin crafttweaker:common
[20:48:07.108][INFO][CraftTweaker-Plugins]: Successfully identified and loaded plugin crafttweaker:compatibility
[20:48:07.534][INFO][CraftTweaker]: The following mods have explicit CraftTweaker support, provided through the CraftTweaker compatibility plugin:
[20:48:07.535][INFO][CraftTweaker]: - 'crafttweaker' version '20.0.21', supporting mods vanilla
[20:48:07.550][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.TextColor for native type 'net.minecraft.network.chat.TextColor'
[20:48:07.551][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.MutableComponent for native type 'net.minecraft.network.chat.MutableComponent'
[20:48:07.551][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.Component for native type 'net.minecraft.network.chat.Component'
[20:48:07.551][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.FormattedText for native type 'net.minecraft.network.chat.FormattedText'
[20:48:07.551][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.ChatFormatting for native type 'net.minecraft.ChatFormatting'
[20:48:07.551][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.Message for native type 'com.mojang.brigadier.Message'
[20:48:07.551][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.Style for native type 'net.minecraft.network.chat.Style'
[20:48:07.551][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.content.type.NbtContents for native type 'net.minecraft.network.chat.contents.NbtContents'
[20:48:07.551][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.content.type.KeybindContents for native type 'net.minecraft.network.chat.contents.KeybindContents'
